dateiname	tbeg_klass_art	erlaeuterung
BVerfGE16,094	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,119	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,124	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,130	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,145	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,147	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,188	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,191	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,194	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE16,203	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,220	NB	automatisch annotiert in ebene-Tags
BVerfGE16,230	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,231	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,236	NB	automatisch annotiert in ebene-Tags
BVerfGE16,241	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,243	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,246	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,254	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,283	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,286	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,305	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,306	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,329	Regeln	automatisch annotiert in ebene-Tags
BVerfGE16,332	NB	automatisch annotiert in ebene-Tags
BVerfGE16,343	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,001	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,038	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,062	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,067	NB	automatisch annotiert in ebene-Tags
BVerfGE17,086	NB	automatisch annotiert in ebene-Tags
BVerfGE17,099	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,108	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,120	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,122	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,135	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,139	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,145	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,148	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,155	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,168	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,172	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,188	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,191	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,197	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,199	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,208	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,210	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,224	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,232	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,252	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,262	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,265	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,269	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,280	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,294	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,302	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,306	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,356	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,364	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE17,371	Regeln	automatisch annotiert in ebene-Tags
BVerfGE17,381	NB	automatisch annotiert in ebene-Tags
BVerfGE18,018	NB	automatisch annotiert in ebene-Tags
BVerfGE18,038	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,049	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE18,052	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,065	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,070	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,085	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE18,097	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,112	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,121	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,135	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,147	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,151	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,156	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,159	NB	automatisch annotiert in ebene-Tags
BVerfGE18,172	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,186	NB	automatisch annotiert in ebene-Tags
BVerfGE18,192	NB	automatisch annotiert in ebene-Tags
BVerfGE18,196	NB	automatisch annotiert in ebene-Tags
BVerfGE18,203	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,216	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE18,224	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,241	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,257	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,274	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,288	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,302	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,305	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,310	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,344	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,353	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,366	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE18,380	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,385	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE18,389	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,392	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE18,419	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,423	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,429	Regeln	automatisch annotiert in ebene-Tags
BVerfGE18,441	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,001	NB	automatisch annotiert in ebene-Tags
BVerfGE19,017	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE19,032	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,038	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,049	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,052	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,064	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,071	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,073	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,076	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,088	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE19,093	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,100	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,119	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,129	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,135	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,138	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,142	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,145	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,148	NB	automatisch annotiert in ebene-Tags
BVerfGE19,150	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE19,166	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,177	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,187	NB	automatisch annotiert in ebene-Tags
BVerfGE19,198	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE19,202	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE19,206	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,226	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,242	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,248	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,253	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,268	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,282	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,288	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,303	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,323	NB	automatisch annotiert in ebene-Tags
BVerfGE19,330	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,342	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,354	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,370	Regeln	automatisch annotiert in ebene-Tags
BVerfGE19,394	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE2,001	NB	automatisch annotiert in ebene-Tags
BVerfGE2,079	NB	automatisch annotiert in ebene-Tags
BVerfGE2,105	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,115	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE2,124	NB	automatisch annotiert in ebene-Tags
BVerfGE2,136	NB	automatisch annotiert in ebene-Tags
BVerfGE2,143	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE2,181	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE2,213	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE2,225	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,232	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,237	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,266	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,287	NB	automatisch annotiert in ebene-Tags
BVerfGE2,292	NB	automatisch annotiert in ebene-Tags
BVerfGE2,295	NB	automatisch annotiert in ebene-Tags
BVerfGE2,300	NB	automatisch annotiert in ebene-Tags
BVerfGE2,307	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE2,336	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,341	Regeln	automatisch annotiert in ebene-Tags
BVerfGE2,347	NB	automatisch annotiert in ebene-Tags
BVerfGE2,380	NB	automatisch annotiert in ebene-Tags
BVerfGE2,406	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE20,001	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,009	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,018	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE20,026	NB	automatisch annotiert in ebene-Tags
BVerfGE20,031	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,035	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,040	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,045	NB	automatisch annotiert in ebene-Tags
BVerfGE20,052	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,056	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,119	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE20,144	NB	automatisch annotiert in ebene-Tags
BVerfGE20,150	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,162	NB	automatisch annotiert in ebene-Tags
BVerfGE20,230	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,238	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,257	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,271	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,276	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,281	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,283	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,296	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,309	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,312	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,336	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,347	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,351	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,365	NB	automatisch annotiert in ebene-Tags
BVerfGE20,374	Regeln	automatisch annotiert in ebene-Tags
BVerfGE20,379	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE21,006	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,012	NB	automatisch annotiert in ebene-Tags
BVerfGE21,052	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,054	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE21,073	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,087	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,094	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,102	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,106	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,117	NB	automatisch annotiert in ebene-Tags
BVerfGE21,132	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,139	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,148	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,160	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,173	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,184	abschnitt2	automatisch annotiert in ebene-Tags
BVerfGE21,191	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,196	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,207	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,209	NB	automatisch annotiert in ebene-Tags
BVerfGE21,227	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,239	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,261	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,271	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,292	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,306	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,312	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,329	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,362	Regeln	automatisch annotiert in ebene-Tags
BVerfGE21,391	Regeln	automatisch annotiert in ebene-Tags
BVerfGE22,001	Regeln	automatisch annotiert in ebene-Tags
BVerfGE22,021	Regeln	automatisch annotiert in ebene-Tags
BVerfGE22,028	Regeln	automatisch annotiert in ebene-Tags
BVerfGE22,039	Regeln	automatisch annotiert in ebene-Tags
